title,postexcerpt
"Space business buoys Harris, troubles L3 as merger progresses","Harris Corp. and L3 Technologies reported contrasting financial performances for their space activities Jan. 29, with Harris charting growth in classified smallsat programs and L3 recording losses in satellite communications components."
Nonprofit led by former U.S. lawmakers working to connect DoD with commercial space industry,The national security space program at the Center for the Study of the Presidency and Congress is working on a list of recommendations on how the Pentagon could work better with the commercial space industry.
Air Force leaders tout progress in space procurement reforms,"A reorganization of the Air Force Space and Missile Systems Center and the establishment of a rapid procurement office for space are just the initial steps toward getting “better and faster,” Vice Chief of Staff of the Air Force Gen. Stephen Wilson said last week."
Lockheed Martin projects decline in space profits in 2019 due to ULA,"While Lockheed Martin’s space unit reported increased earnings in 2018, the company cautioned that it expects profits from that unit to decline in 2019 because of decreased contributions from United Launch Alliance."
Shanahan gearing up for space debate on Capitol Hill,For the first time Shanahan confirmed that the Pentagon is proposing to establish a Space Force within the Department of the Air Force.
"White House: Space Force under the Air Force only a ‘first step,’ a separate department not off the table",The White House space policy directive tries to balance political reality with the president’s insistence that the Space Force should be an independent department.
"European Commission, fearing brain drain to US, takes sharper look at space investment strategy","Commissioners speaking this week at the Conference on European Space Policy in Brussels said the continued reservations of European investors about financing space startups is hampering Europe’s ability to keep pace with similar startup activity in the United States."
Space Development Agency to be part of Griffin’s defense research organization,Acting Defense Secretary Shanahan has directed Undersecretary of Defense Mike Griffin to submit a plan by March 1 to stand up the Space Development Agency no later than March 29.
UAE to establish space investment plan,The United Arab Emirates will seek to encourage both investment in space ventures in the country as well as investment by domestic funds into the broader space industry.
"Trump unveils Missile Defense Review, promises funding for space sensors in 2020","Trump: Space ultimately is “going to be a very big part of our defense and offense.\"\""
European Space Agency leaders expect a challenging year ahead,"Amid difficulties for the European launch industry, and with Brexit looming on the horizon, European Space Agency executives face a challenging year ahead."
Defense official: We’re failing at space innovation,"The Pentagon has to figure out how it will respond to China’s rapid advances in space technology, warned Chris Shank, director of the Pentagon’s Strategic Capabilities Office."
Cruz plans to try again with commercial space legislation,"A commercial space bill that fell just short of passage last year will be reintroduced this year to serve as the starting point for further discussions, a key senator said Jan. 15."
EU could agree on new regulation for space program by May,"The regulation is to provide Brussels with an adequate budget to continue its space projects, such as EGNOS, Galileo and Copernicus, and establish the rules for the governance of its space program, among others."
Thales Alenia Space to build ESA’s FLEX vegetation-monitoring satellite,"Thales Alenia Space said Jan. 10 it received a contract from the European Space Agency worth approximately 150 million euros ($172.4 million) to build the Fluorescent Explorer satellite."
Space council advisory group to study role of human space exploration supporting science,"The advisory group for the National Space Council is looking at ways that NASA’s human exploration plans can also support space science, while acknowledging the lack of representation of the scientific community in the group."
Thornberry predicts Space Force will have bipartisan support in the House,"A space service is something we have been pushing, Thornberry said. “Maybe we can drag the Senate along with us for a change.”"
Glacial pace of space weather modernization,"Since the U.S. military is extremely reliant on satellites for communications, intelligence and navigation, the Air Force is striving to augment space weather observations, models and predictions. Unfortunately, progress often occurs at a glacial pace."
Sky and Space Global misses payment to GomSpace on 200-cubesat order,"GomSpace is holding up production on a 200-cubesat order from telecom startup Sky and Space Global due to past-due payments."
Shanahan keeps tight grip on Space Force planning,"Still unresolved is one of Shanahan’s top priorities in the space reorganization, which is to establish a Space Development Agency"
Deep Space Industries acquired by Bradford Space,"Deep Space Industries (DSI), a company founded to pursue asteroid mining but which more recently has focused on smallsats, has been acquired by another space technology company."
Air Force turns to nontraditional contracting for space technology projects,The Space Enterprise Consortium does not follow the arcane defense acquisition regulations. It requires traditional defense contractors to work with nontraditional vendors.
"Q&A: U.S. Air Force Secretary Heather Wilson says change is underway, Space Force or not","Whether Congress goes along with President Donald Trump’s plan to establish a Space Force, the nation is prepared to protect and advance its dominance in space, Air Force Secretary Heather Wilson said."
Commerce Department seeks to encourage more space industry investment,"Even amid growing venture capital investment in space companies, the Commerce Department is making efforts to encourage more institutional investment into the industry."
Commercial space bill dies in the House,A bill designed to reform commercial space regulations and extend the life of the International Space Station failed to win approval in the House Dec. 21 amid lackluster support for the bill and opposition from some Democrats.
European Space Agency overhauls satellite servicer program,"A satellite-deorbiting program the European Space Agency that’s been struggling to gain traction with its member states and industry has been redesigned to be more appealing."
Senate passes commercial space bill,"The Senate approved legislation Dec. 20 to reform commercial space regulations and extend the life of the International Space Station, but the passage may be too late for this bill to become law."
Space Force proposal creates an independent service under the Department of the Air Force,A civilian Undersecretary of the Air Force for Space would report to the Secretary of the Air Force.
Soyuz crew returns to Earth after memorable 6 months in space,Three space station crewmembers returned to Earth Dec. 20 after a remarkably eventful stay aboard the orbiting laboratory.
Pence briefed on Space Force proposal at Pentagon meeting,Pence said Trump soon will sign aspace policy directive that will lay out plans and a timeline to create a U.S. Space Force as a sixth branch of the armed forces.
Space Force developments this week: U.S. Space Command moving forward,"In the last working week of the year, there is no slowing down in the Defense Department’s space reorganization. The White House has given the Pentagon the order to stand up a U.S. Space Command as a separate combatant command."
NASA looking to launch delayed space science missions in early 2019,"NASA hopes to get two long-delayed space science missions launched in the first few months of 2019, one of which will go on one of two back-to-back Falcon Heavy missions."
President Trump issues order to create U.S. Space Command,Deputy Defense Secretary Patrick Shanahan said U.S. Space Command should not be confused with Space Force.
Incoming HASC Chairman to oppose creating a separate military branch for space,Smith: The difficulties we’ve had with space launch has been a good example of why a different approach is needed to manage military space.
Nelson continues effort to extend space station,"With both the current Congress and his political career nearing their ends, Sen. Bill Nelson (D-Fla.) said Dec. 10 he’s continuing to fight to extend operations of the International Space Station through the end of the next decade."
Griffin: Pentagon ‘scrambling’ to figure out space reorganization,"During a Q&A session at a U.S. Chamber of Commerce summit to promote the space industry as an engine of innovation and economic growth, Griffin said he does not know when or how a new military branch will be organized."
Department of the Air and Space Force? Catch up on Space Force developments this week,President Trump has been insistent that a Space Force should be a completely independent military department. One way to organize the new service would be by establishing a Space Force under a larger Department of the Air and Space Force.
Thales Alenia Space to build four radar satellites for South Korea,"European satellite manufacturer Thales Alenia Space said Dec. 5 it signed separate contracts with Korean Aerospace Industries (KAI) and Hanwha Systems Corp. to develop four high-resolution radar satellites for South Korea’s Agency for Defence Development."
Bush remembered for role shaping post-Cold War space policy,"Despite serving just a single term in the White House, the late President George H.W. Bush is remembered as playing a key role in space policy as the country transitioned from the Cold War competition with the Soviet Union to a more cooperative relationship with Russia."
Pentagon analyzing possible missions for a new Space Development Agency,"The plan has drawn criticism and stirred questions about why DoD is creating a new agency to do what existing space procurement organizations already do in the Air Force, the Army, the Navy and the intelligence community."
Atlas Space Operations wins first defense customer,"With the SpaceX rideshare launch, Atlas Space Operations welcomed its first Defense Department customer into its cloud-based ground station network."
Soyuz launches new crew to space station,"Three new crewmembers are on their way to the International Space Station after a successful Soyuz launch Dec. 3, less than two months after the previous crewed mission suffered an abort during launch."
Pentagon procurement chief endorses Space Force,"\"Ellen Lord: “We want to make sure we assess the threat and come up with a strategy to dominate in space and make sure we have offensive and defensive capabilities.\"\" \""
Space Force proposal could create a broader military department for both air and space,"During a White House meeting on Thursday, Pentagon and administration officials discussed the possibility of establishing a Space Force under a larger Department of the Air and Space Force."
"Space Force idea lacks public support, survey reveals",Survey reveals President Trump’s proposal to create a new U.S. Space Force lacks broad public support.
Former Air Force general picked to lead FAA commercial space office,The FAA has named an Air Force general who previously ran the launch facilities at Cape Canaveral as the new head of its commercial space office.
MarCO success vindicates use of cubesats on deep space missions,"The success a pair of cubesats achieved in relaying telemetry from NASA’s InSight Mars lander demonstrates that such spacecraft can play increasing roles in future deep space missions, spacecraft designers believe."
Looming budget crunch puts DoD space strategy in jeopardy,"Frank Rose, former assistant secretary of state for arms control, said funding for space security, missile defense sand nuclear weapons are going to be key “points of friction” because the administration the new Congress."
Total cost of a Space Force is hard to pin down,A number of lawmakers have said they will oppose the Trump administration’s Space Force plan because of its high cost.
How much does a Space Force cost? Analyst lays out menu of options,The obvious conclusion from Harrison’s study is that the size and budget of a new military service for space can vary considerably depending on the scope of the reorganization.
Major moves in DoD space reorganization to start in early 2019,Shanahan on the Space Force legislation: “What I feel confident about is that the proposal that we are going to carry forward makes sense.”
U.S. midterm elections shake up space policy landscape on Capitol Hill,"A “blue wave” that gave Democrats control of the House of Representatives in the midterm elections swept away key figures in space policy, including the chairman of the subcommittee that funds NASA."
Space Tango plans in-orbit manufacturing,"Space Tango, a Kentucky startup that develops microgravity research platforms, announced plans Nov. 15 to launch in the mid-2020s an autonomous in-orbit manufacturing facility."
Political odds stacked against Space Force. Proponents brace for long fight,Elections have consequences. But exactly what the new power structure in Washington means for the future of the Space Force will not be known for some time.
ESA targets 2021 for Space Rider demo flight,"The European Space Agency expects to carry out the qualification flight of the Space Rider spaceplane in 2021 followed by multiple demonstration missions before handing over the program to industry, according to Lucia Linares, head of ESA space transportation strategy and policy."
Italian Space Agency head dismissed,"A week after the sudden firing of Roberto Battiston as the head of the Italian Space Agency, the reasons for his ouster remain unclear while a grassroots effort is underway to restore his job."
"Space Force, Europa missions face scrutiny as Democrats take over House","The Trump administration’s desire to establish a Space Force could be in jeopardy next year after Democrats assume control of the House, while the departure of a key House appropriator could spell trouble for NASA missions to the potentially habitable moon of Europa."
One reason to create a Space Development Agency? Bring the military services together,Ryals suggested a Space Development Agency could be helpful in providing a single voice for military space requirements.
Space Force reorganization could raise profile of DARPA’s space missions,The Pentagon wants to stand up a Space Development Agency that presumably would take over space projects like Blackjack.
Luxembourg government to continue commercial space initiatives after election,A Luxembourg government official said Nov. 4 that he doesn’t think there will be any changes to the country’s commercial space initiatives as a result of a recent parliamentary election there.
Musk backs Space Force proposal,"SpaceX Chief Executive Elon Musk says he supports the concept of establishing a separate Space Force, using an argument that mirrors statements made by administration officials."
Space Force discussions increasingly blur the line between military and civilian space,Pence said the Space Force is “part of the president's vision for really reinvigorating American leadership in space … and once again lead in human exploration.”
Air Force leaders more vocal about their support for Trump’s Space Force proposal,Top leaders of the U.S. Air Force are doing their best to counter the narrative that they oppose President Trump’s plan to establish a Space Force.
Here’s a rundown of the latest Space Force developments,"At the National Space Council meeting last week, Vice President Mike Pence made an impassioned case for the establishment of a Space Force. But no matter how much President Trump wants it, congressional authorization by law is required to form a new military branch."
"As Space Force proposal moves forward, Shanahan hints at major changes in space procurements",Shanahan envisions the Space Development Agency will have a technology-focused mission but also would help consolidate duplicative efforts currently pursued by individual services.
Pentagon official predicts “exciting and interesting” congressional debate on Space Force in 2019,The Pentagon official responsible for space policy says he expects an “exciting and interesting discussion” in Congress next year when the House and Senate take up the administration’s proposal to establish a Space Force.
Analyst predicts Space Force will fuel infighting among military services,"Space Force leaders “will likely only work with the other services when forced to by an outside entity like the secretary of defense or Congress.\"\""
National Space Council votes unanimously to send Space Force proposal to Trump,"Trump is determined to make the new military branch a reality, Pence said. “He asks me about the Space Force every week.”"
Pence: Trump determined to get Space Force authorized by Congress next year,"The administration believes there is enough bipartisan support for a Space Force that it will be authorized regardless of who wins the majority in November, Vice President Mike Pence said at a Washington Post “Transformers Space” event."
The world’s only ride to the International Space Station is grounded. What now?,Nick Hague thought he knew what to expect on his first flight into space — until the unexpected happened.
Thales Group reports boost in space revenue,"Government demand for space systems drove a “recovery of space orders” for Thales Group this year, offsetting a slump in commercial telecom satellites, Chief Financial Officer Pascal Bouchiat said Oct. 18."
45th Space Wing gears up for surge in launch activity,45th Space Wing Commander Brig. Gen. Schiess: Gen. Raymond “is pushing us to look at ways to be more responsive.”
Space Force to be the topic of next National Space Council meeting,The status of proposals to create a separate branch of the U.S. military devoted to space will be the subject of the next meeting of the National Space Council on Oct. 23.
Space Enterprise Consortium sees fast growth,"Since it was stood up a year ago, the Air Force-led Space Enterprise Consortium has seen rapid growth in industry participation and in funding."
NASA addressing problems with Hubble and Chandra space telescopes,"As one group of engineers continues to diagnose a gyro problem that has sidelined the Hubble Space Telescope, another is dealing with a problem that has put operations of another large space observatory on hold."
Artificial intelligence extends into space,"Like SES, government agencies and space companies are applying artificial intelligence to various problems they face."
Firefly Aerospace and York Space Systems partner to provide integrated satellite solutions,Small launch vehicle company Firefly Aerospace announced Oct. 10 it’s partnering with smallsat developer York Space Systems to offer customers a combined package of satellite and launch services.
Space agencies welcome new entrants developing satellites for tracking greenhouse gases,"As a growing number of organizations propose satellites to monitor greenhouse gases, national space agencies who already operate such spacecraft welcome those new entrants — as long as they’re willing to share their results."
Top Pentagon official Mike Griffin proposes new space agency that ‘disrupts’ traditional procurement,"Griffin is proposing a D.C.-based Space Development Agency that would report to him initially, but eventually would shift to the control of a new assistant secretary of defense for space."
Airbus CEO calls for reforms to European space governance,The chief executive of Airbus used an international space conference to call for reforms in how Europe manages and funds space activities in order to better compete on the global market.
Senate Armed Services Committee still not sold on a separate military service for space,Sen. Joni Ernst said it remains a wide open question whether a Space Force should be a “separate stand-alone force or if it can be better maximized as part of the existing Air Force.”
Space Tango to form hemp subsidiary,"Space Tango, a Kentucky startup that develops microgravity research platforms, announced plans Oct. 4 to form a subsidiary focused on the plant biology and properties of hemp."
Australia’s new space agency plans commercial focus,"A year after the Australian government announced plans to establish a national space agency, that office is now in operation with plans to help support the country’s emerging space industry."
Is ISIS Space the new space unicorn? Probably not. But you’ve got to like their odds.,"In an exhibit hall filled with metal spacecraft components, it was hard to miss the pink unicorn perched on a cubesat at the Innovative Solutions in Space booth."
Three American space startups to establish offices in Luxembourg,"Three U.S. companies will set up offices in Luxembourg, the latest sign of an ongoing effort by the small European country to diversify its space economy."
ESA’s leader gets extra time for his vision of European space,"European Space Agency Director General Jan Woerner spoke with SpaceNews about his extension, the agency’s activities, and its relationship with others, from the EU to NASA."
Lawmakers irked by political gamesmanship over Space Force,Rogers: All the president said is “I want a separate but equal space force. It could be what we proposed: a separate service within the Department of the Air Force.”
Keeping Canada in space,A coalition of Canadian space firms and researchers have banded together to launch a new initiative to put pressure on the Canadian government to sign on to NASA’s Lunar Gateway program and release a new space strategy for the country.
"China could be facing space station delay, Tiangong-2 to be deorbited",China’s plan to launch and construct a space station could be hit by a test flight delay of the launcher designed to send the modules into orbit.
Pentagon to start drilling into the details ofestablishing a U.S. Space Command,"\"Dunford: \"\"The U.S. SOCOM model is particularly informative on the development and shaping of U.S. Space Command.\"\"\""
House Armed Services chairman not taking sides on Space Force disputes,Thornberry said he worries that too much attention is being paid to org charts and not enough to the substance of what space forces need.
Congress includes space provisions in FAA bill as industry seeks action on other regulatory issues,"With Congress set to approve a Federal Aviation Administration bill with some commercial space provisions, those in the industry are hoping for action on other bills before the end of this year."
Shanahan: A lot of ‘arm wrestling’ in the Pentagon on how to set up a space force,"Shanahan on space reorganization:“We’re going to find the best way. There will be some hammering and arm wrestling. \"\""
Air Force Secretary Heather Wilson’s Space Force proposal has people buzzing,"Air Force Secretary Heather Wilson’s Space Force proposal dropped on the first day of the Air Force Association’s Air Space Cyber symposium, and it took the community by storm."
What are people talking about at Air Force Association’s Air Space Cyber symposium?,"The Air Force’s advocacy group, the Air Force Association, is taking off the gloves and pointedly voicing opposition to separating space out of the Air Force."
Space Council advisory group planning next meeting,"Three months after its inaugural meeting, the advisory group supporting the National Space Council is working to organize itself and identify topics for study while preparing for its next full meeting."
"Air Force Association opposes establishment of a Space Force, says air and space are ‘indivisible’","\"AFA: \"\"Standing up a separate space bureaucracy amplifies the problem by driving more money to a headquarters function"
New Pentagon memo lays out action plan to establish Space Force by 2020,"A Space Force legislative proposal could arrive at the White House as early as Dec. 1, 2018."
Luxembourg establishes space agency and new fund,"The government of Luxembourg continued work to expand its role in the global space economy Sept. 12 by formally establishing a national space agency, a move designed in part to ensure the effort continues after an upcoming election."
U.S.-Canada space relations not affected by trade dispute,Both American and Canadian officials said they’re optimistic about continued strong cooperation between their nations’ space programs despite trade and other disputes.
Royal Thai Air Force hires ISIS Space to deliver cubesat in orbit,"The Royal Thai Air Force awarded a contract to ISIS Space of the Netherlands to deliver a complete satellite in orbit next year, ISIS Space announced Sept. 7."
Army soldiers on the front lines of space wars,"\"Army officials: Space support \"\"critical to success on the battlefield.\"\"\""
"French space startup raises $4.1 million to develop smallsat electric thruster technology, software",French space startup Exotrail has secured $4.1 million in funding to develop its electric thruster technology and software for smallsats.
Exoplanet report recommends development of large space telescope,"A National Academies committee recommends that NASA pursue development of a large space telescope to search for potentially habitable exoplanets, but declined to choose a specific concept for such a mission."
Air Force Secretary affirms support for Space Force,Air Force Secretary Heather Wilson on plans to create a Space Force: “If we are going to do this we should do it right.”
NASA delays decision on space technology reorganization,Proposals to restructure NASA’s space technology and human spaceflight programs are on hold as the agency weighs other organizational changes.
Mattis: Reorganization of military space forces already in motion,"Mattis: “We have worked with Congress and the White House to define the evolving space problem that we confront.\"\""
Defining the job duties of the Space Force will be a knotty task,Creating a new service could get messy not just from a political standpoint but also because there are vast cultural gulfs within the space community about what the primary mission of the Space Force should be.
Pence recaps space policy in JSC speech,Vice President Mike Pence used a speech Aug. 23 at NASA’s Johnson Space Center to reiterate the nation’s space exploration policy without breaking new ground.
"SN Military.Space | Who’s who in the national security space workforce • Doubts raised about cost of Space Force • U.S., Brazil to share space data","Outside the national security space community, few people grasp the breadth of activities and missions that might one day transition to a Space Force, if and when Congress votes to create one."
New Office of Space Commerce director to focus on advocacy and regulatory issues,"The new director of the Office of Space Commerce, a long-neglected entity set to gain more influence under the Trump administration’s space policy reforms, says his initial priorities are on engaging with and advocating for industry and dealing with regulatory issues."
NASA to study use of commercial partnerships for space communications services,NASA plans to seek proposals soon for studies on the use of public private partnerships to develop the next generation of space communications services.
Analysts: Space Force will test constitutional separation of powers,The possible creation of a Space Force gives Congress a “unique opportunity to shape the direction of U.S. national security space at this moment in time.”
Pentagon report: China’s space program ‘continues to mature rapidly’,"New DoD report raises concerns about China’s counterspace weapons, including kinetic-kill missiles, ground-based lasers and orbiting space robots."
"Defense inspector general finds key Air Force space programs vulnerable to cyber attacks, sabotage",An audit by the Defense Department’s inspector general office found securitycracks in the supply chain of four critical military space programs.
Boeing to acquire Millennium Space Systems,"Millennium Space Systems was founded in 2001 and has approximately 260 employees. It has developed satellites ranging from 50 kg to more than 6,000 kg."
Space Force talk drawing attention to the need for international norms,International mistrust in space could become a bigger problem as the commercial space industry continues to grow and demand a peaceful environment to do business.
SN Military.Space | Space Force a political football • The next big thing in space missile defense • How to make satellites ‘defendable’,The Pentagon's Joint Oversight Requirements Council will be briefed this fall on potential solutions to a major national security vulnerability: hypersonic weapons that fly into space at supersonic speeds and descend back down to Earth directly on top of targets.
A key White House demand in DoD’s Space Force plan: An “accountable civilian” to oversee the process,Why was the DoD space reorganization report more than a week late? The White House ordered a few tweaks.
Vice President Pence announces first steps towards creating a new military branch for space,The debate is over. The United States will have a Space Force as a separate branch of the military.
Space Force: Pentagon moving closer to Trump’s vision,"Mattis: “We are in complete alignment with the president's concern about protecting our assets in space that contribute to our security, to our economy.”"
Former space executive Sirangelo joins University of Colorado,"Mark Sirangelo, who left Sierra Nevada Corporation (SNC) in June after heading the company’s space division for a decade, has joined the University of Colorado Boulder as an “entrepreneur-in-residence” in its aerospace engineering program."
PLD Space signs 25-year lease at Spanish airport for engine test facilities,Spanish launch startup PLD Space plans to quadruple the size of its engine test facility at Spain’s Teruel Airport following a new 25-year lease that began this month.
Telesat picks Airbus Defence and Space as second constellation design partner,"Telesat awarded a second constellation design contract Aug. 1, choosing Airbus Defence and Space to begin studies on the company’s proposed system of 117 low Earth orbit communications satellites."
Pentagon delays release of space reorganization study,Deputy Secretary Shanahan's highly anticipated study is seen as the foundation for future legislation that Congress would write next year to create a Space Force.
National security experts throw cold water on Space Force euphoria,Former Air Force Secretary Deborah Lee James: The disruption from having to create a separate military service for space will distract from the space warfighting mission.
National Space Council officials to attend WRC-19 spectrum conference,"Every three to four years, spectrum regulators convene to set rules on the use of the world’s limited radio frequency resources at an event known as the World Radiocommunication Conference. Next year the United States’ recently formed National Space Council will attend to defend the interest of American satellite companies and influence changes in international space policy."
"Koichi Wakata, JAXA vice president and astronaut, helps chart future of ISS and human space exploration","Koichi Wakata, the Japanese space agency’s vice president and director general for human spaceflight technology, is intimately familiar with the International Space Station. As an astronaut, he helped assemble the space station in 2000 and lived onboard for four months in 2009 and six months in 2013 and 2014."
French space agency pledges 10-million-euro boost to French Guiana economy,"The French space agency CNES has agreed to allocate an additional 10 million euros ($11.7 million) to further the economic and social development of French Guiana, the South American territory home to Europe’s spaceport."
Senate introduces bill to streamline commercial space regulations,"Three senators introduced legislation July 25 to reform commercial space regulations, including a provision that conflicts with language in a bill passed by the House."
National Space Council to develop a microgravity strategy,The National Space Council is planning a series of roundtable discussions with industry to explore what the federal government can do to encourage access to and utilization of the microgravity environment.
House committee approves space weather bill,The House Science Committee approved July 24 a modified version of a space weather forecasting bill that the Senate passed last year amid criticism of the committee’s approach to the legislation.
Delta Faucet and Goodyear Tires sending experiments to International Space Station,Delta Faucet Co. and Goodyear Tire & Rubber Co. announced partnerships July 24 with the Center for the Advancement of Science is Space to send microgravity experiments to the International Space Station later this year.
British government to promote space industry exports,The British government announced July 19 a new effort to help space companies in the country win business outside of Europe amid concerns about the effects Brexit will have on the industry.
Farnborough 2018: U.K. and Europe highlight economic benefits of space,"The space market worldwide has averaged $269 billion over the past five years, growing more than 5 percent each year."
SN Military.Space | AI race moves to space • China’s heavy rockets a concern for U.S. • Soldiers learn to operate satellites,"Using free data from the European Space Agency, a startup in Finland created a geospatial information service that is entirely enabled by artificial intelligence."
Virgin space companies sign new agreements with Italy,Virgin Galactic and Virgin Orbit announced a set of agreements July 6 with Italian companies and the Italian Space Agency that could lead to suborbital and orbital launches from a proposed Italian spaceport.
A trillion-dollar space industry will require new markets,"Forecasts that predict the space industry to grow to a trillion dollars by the 2040s will require the development of new markets, even with the modest annual growth rates needed to achieve that goal."
Wall Street Journal editorial shoots down Space Force,"The president continues to bring up the Space Force at military events and political rallies, where every mention draws applause and cheers from crowds."
House Science Committee approves space traffic management bill,The House Science Committee approved a bill June 27 that would give the Commerce Department new responsibilities for space traffic management despite opposition by some Democrats that the bill “rubber stamps” the administration’s space policy.
Army troops could be headed to the Space Force,"“We are the biggest users of space,” said Brig. Gen. Tim Lawson, deputy commanding general for operations at the Army Space and Missile Defense Command."
Thai startup mu Space seeks builder for satellite bound for leased orbit,"The request for proposal, released June 25, is for the construction of satellite mu Space says it will launch in 2021 on Blue Origin’s New Glenn rocket."
Space Force impact on investment • Air Force trying to prove critics wrong,Wall Street investment bank Morgan Stanley sees big money coming to the space sector following the president’s announcement that a new military branch for space will be formed.
"EU eyes 16-billion-euro space program for navigation systems, Earth observation, components","The European Commission has unveiled plans to spend 16 billion euros, or $18.6 billion, on a space program to boost the EU’s space capabilities in the years 2021 to 2027."
"NASA, Defense Department support giving space traffic management role to Commerce","As the House prepares to take up a bill giving the Commerce Department new authorities for space traffic management, the leaders of NASA and U.S. Strategic Command offered their support for such a move."
Commerce Department moves ahead with space regulatory reforms,"Nearly a month after the signing of a policy directive calling for commercial space regulatory reforms, Commerce Department officials said this week they’re moving ahead on a number of fronts."
Rep. Mike Rogers: Space Force will be done ‘responsibly’ with minimal disruption,Rogers: Whether you call the new branch a Space Corps or a Space Force is not all that important.
China appears to be preparing to deorbit its Tiangong-2 space lab ,"China has lowered the orbit of its Tiangong-2 space lab, likely in preparation for deorbiting the orbital facility and thus averting a similar scenario to the uncontrolled re-entry of Tiangong-1 earlier this year."
Space council’s “think tank” starts work,An advisory group dubbed the “think tank” for the National Space Council formally kicked off its work June 19 with a broad but vague mandate to study space policy issues.
Trump: ‘We are going to have the Space Force’,Trump: Creating a Space Force and promoting space exploration by NASA and the private sector will be “important for the nation’s psyche.”
Trump wants a Space Force; will Congress oblige? • DoD: ‘This will be a deliberate process’,The National Space Council meeting at the White House on Monday was supposed to be all about the Trump administration’s new approach to managing space traffic and debris.
President to sign space traffic management policy,"President Trump will sign a new space policy directive June 18 addressing space traffic management issues, closely following the proposed policy that Vice President Pence announced in April."
Cruz still studying what agency should oversee non-traditional commercial space missions,A key senator says he’s keeping an open mind regarding who in the federal government should have responsibility for the oversight of “non-traditional” commercial space activities.
National Space Council wins industry praise as it prepares for next meeting,"As the National Space Council prepares for its third public meeting, its activities to date have won widespread praise in the space community, even as there is some skepticism about the effectiveness of the council’s advisory group that will soon meet for the first time."
Oxford Space Systems raises $8.9 million for spacecraft component business,"Oxford Space Systems, a British startup that hopes to compete with space industry giants Harris Corp. and Northrop Grumman in the satellite component business, has raised 6.7 million British pounds ($8.9 million) from investors."
Bridenstine weighs in on national space policy,NASA Administrator Jim Bridenstine used a recent speech to lay out not just the recent space policy changes that directly affect NASA activities but other administration efforts that focus more on commercial space.
Thornberry: ’We are not going to let up’ on military space reorganization,"Both chambers want legislation that strengthens the U.S. military space posture, said Thornberry. The House and Senate are “not going to let up in our push to do better in space.”"
SN Military.Space | Space reforms near decision point • SMC Commander: Procurement slow but not broken • Mattis downplays impact of Trump trade wars,"Defense Secretary Jim Mattis told reporters the Pentagon appreciates the congressional focus on space issues and is not being passive about space reforms, although he would like to see further debate on the pros and cons of reorganizing the military."
Congress considering space traffic management legislation,"As the White House puts the finishing touches on a new space policy dealing with space traffic management issues, the House is considering legislation of its own on the topic."
PLD Space raises additional $10 million for reusable smallsat launchers,Spanish startup PLD Space raised 9 million euros ($10.6 million) last month from public and private investors to develop a pair of reusable launch vehicles.
"Air Force chief buyer: Don’t believe the hype, space procurement ‘not broken’","\"Thompson: SMC is a \"\"great industrial age model for building space weapons systems in a benign environment” butnot suited to the current geopolitical reality.\""
Air Force Space Command transfers cybersecurity responsibilities to Air Combat Command,Air Force Space Command is being relieved of the responsibility of fighting hackers in cyberspace. The job now belongs to Air Combat Command.
Putin’s sanctioned space boss a new wrinkle for U.S.-Russian relations,"The U.S.-Russian space partnership is one of technicalities, not of personalities. But Dmitry Rogozin is potentially toxic to this relationship from the standpoint of technicality."
How about a U.S. Space Guard? • DoD steps up AI push amid Google firestorm • DARPA lays groundwork for military LEO constellation,President Trump has floated a Space Force as a separate and equal branch of the military like the the Air Force. Now comes another thought: A Space Guard fashioned after the U.S. Coast Guard.
DoD space debate headed to Senate • Mattis: ‘We have to define the problem’ • SecAF Wilson confident of 2022 RD-180 retirement,The makeover of the military’s space cadre remains a contentious issue as the FY-19 National Defense Authorization Act advances through Congress.
Canada doles out R&D dollars while new space strategy remains overdue,The Canadian government hopes to release its new space strategy in the coming months but in the meantime has provided $20 million in research funding for domestic space companies and universities.
Former NASA Astronaut Greg “Box” Johnson becomes Space Nation’s chief space officer,"Former NASA Astronaut Greg “Box” Johnson is joining Space Nation, the startup offering space training experiences for people around the world, as its new Chief Space Officer."
Analysis | The rise of China’s private space industry,"The space race of old was between governments, but we may be on the brink of a 21st century private space race on an international scale."
New policy directive implements commercial space regulatory reforms,A new policy President Trump will sign May 24 will implement a series of regulatory reforms to support commercial space recommended by the National Space Council earlier this year.
Study offers pessimistic outlook for commercial space stations,"As NASA formally requests proposals for studies on the commercialization of low Earth orbit, another study presented at a congressional hearing May 17 concludes commercial space stations are unlikely to be financially viable in the mid-2020s."
Space industry executives meet “East Coast Thompson”,"Thompson: “We needed somebody to work space every single day. Before, I didn’t recognize how much that was needed.\"\""
Space acquisition reforms: What’s different this time • HASC bill lays groundwork for future space force,The U.S. Air Force has rolled out a string of reforms and policies to speed up the modernization of space systems.
House panel lays foundation for future space force,"Rogers: Regardless of what the final DoD report states, “there’s still things in space that have to be fixed.”"
"Defense Department turning over space traffic management to Commerce, but details still unclear",Deputy Assistant Secretary of Defense Stephen Kitay: 'We’re excited about the new partnership with Commerce on space traffic management.'
CNES creating a space startup fund,The French space agency CNES is creating an investment fund of 80 to 100 million euros ($95 to $119 million) to spur innovation in the space sector.
